clubProfileId,clubName,verificationStatus,accountEmail,lastUpdateDate,creationDate
61df70539ae9e800042b02c7,Neurotech X Columbia,accepted,jde2149@columbia.edu,2022-03-29T00:57:21.008Z,2022-01-13T00:20:35.180Z
61edf6e81d555c00047eb774, Columbia EcoReps,accepted,ecorepscu@gmail.com,2022-03-29T00:57:16.812Z,2022-01-24T00:46:32.810Z
6201f28e7a0ca300042d0d7a,Scholars of Finance,accepted,columbia@scholarsoffinance.org,2022-03-29T00:57:15.022Z,2022-02-08T04:33:18.754Z
6203111522c8f300049efb11, Sabor: Columbia's First Latin Dance Troupe,accepted,sabor.board@gmail.com,2022-03-29T00:57:13.797Z,2022-02-09T00:55:49.359Z
6228fa62b4d42f0004935093,CoLab Performing Arts Collective,accepted,colab@barnard.edu,2022-03-29T00:57:12.302Z,2022-03-09T19:05:06.440Z
61718926a6c5590004dc1fec,Columbia European Society,accepted,european-society@columbia.edu,2021-10-24T18:40:40.988Z,2021-10-21T15:37:10.165Z
6149297ee0bc2d000474c4c9,CU Pre-Vet Society,accepted,cuprevet@gmail.com,2021-09-29T16:22:21.307Z,2021-09-21T00:38:22.477Z
614785398105340004e8d3e1,Columbia University Family Support Network (CUFSN),accepted,mvs2138@columbia.edu,2021-09-19T20:18:45.118Z,2021-09-19T18:45:13.331Z
613b9233f4889d0004b1c9c9,Collegium Musicum,accepted,jtg2141@columbia.edu,2021-09-12T20:05:09.609Z,2021-09-10T17:13:23.117Z
61365b83a32c600004cf445e,CU Sign,accepted,cusign@gmail.com,2021-09-07T00:51:35.608Z,2021-09-06T18:18:43.229Z
61305e9cba72800004c89818,Columbia University's Impact Investing Network (CUIIN) ,accepted,cuimpactinvesting@gmail.com,2021-09-07T00:51:17.384Z,2021-09-02T05:18:20.803Z
612c095829a3240004bb1aba," 116th & Partners, LLC",accepted,jl4470@columbia.edu,2021-09-07T00:51:07.346Z,2021-08-29T22:25:28.273Z
612cff5ce0ad5e0004f5680e,Food Recovery Network (FRN),accepted,frncolumbia@gmail.com,2021-09-01T16:02:51.280Z,2021-08-30T15:55:08.145Z
612ce687e0ad5e0004f5680c, Active Minds at CU,accepted,activemindsatcu@gmail.com,2021-09-01T16:02:46.285Z,2021-08-30T14:09:11.464Z
612c352f29a3240004bb1abe, Columbia Queer Alliance,accepted,cqaboard@columbia.edu,2021-09-01T16:02:42.480Z,2021-08-30T01:32:31.755Z
612c207429a3240004bb1abc,Columbia Women's Business Society (CWBS),accepted,cwbs@columbia.edu,2021-09-01T16:02:40.270Z,2021-08-30T00:04:04.336Z
612807ddb036710004b76e34, Useless Art Society,accepted,uselessartsociety@gmail.com,2021-08-27T00:25:05.158Z,2021-08-26T21:30:05.962Z
6127c35cb036710004b76e32,CU Games Club ,accepted,cugamesclub1020@gmail.com,2021-08-27T00:24:58.857Z,2021-08-26T16:37:48.955Z
6126ca287c586b0004fef88f,Gosh Yarn It!,accepted,cu.goshyarnit@gmail.com,2021-08-26T14:51:03.412Z,2021-08-25T22:54:32.012Z
6126a4e8e4ef4b000410e117,Columbia University Dance Team,accepted,columbiadanceteam@gmail.com,2021-08-26T14:50:58.672Z,2021-08-25T20:15:36.594Z
61269afbe4ef4b000410e115,Columbia Bartending Agency,accepted,info@columbiabartending.com,2021-08-26T14:50:55.919Z,2021-08-25T19:33:15.614Z
611d52d53cb2d30004ac81f4,The Remedy Project,accepted,admin@studentjusticeleague.org,2021-08-24T18:34:16.090Z,2021-08-18T18:35:01.030Z
611dbcbbbed7220004687548,SOON Movement,accepted,jj2998@columbia.edu,2021-08-24T18:33:55.890Z,2021-08-19T02:06:51.945Z
611f2b5da0eb6100048af17d,Columbia University Science Fiction Society (CUSFS),accepted,cusfs@columbia.edu,2021-08-24T18:33:53.984Z,2021-08-20T04:11:09.309Z
6119c8dd8044d400041a5bed,Asian Youth Program (AYP) (CI),accepted,aypcolumbia@gmail.com,2021-08-18T18:29:44.107Z,2021-08-16T02:09:33.625Z
6116bbb09216210004b6953f,Big Sibs Columbia (CI),accepted,bigsibs.columbia@gmail.com,2021-08-18T18:29:40.520Z,2021-08-13T18:36:32.340Z
611548cfa1da250004391707,Alianza,accepted,cu.alianza@gmail.com,2021-08-18T18:29:36.353Z,2021-08-12T16:14:07.181Z
61118fe46500e50004e908e5,Project Tutors (CI),accepted,projecttutors@gmail.com,2021-08-18T18:29:34.420Z,2021-08-09T20:28:20.007Z
6113357d2080ee000493787e,American Society of Civil Engineers,accepted,asce@columbia.edu,2021-08-18T18:29:30.815Z,2021-08-11T02:27:09.525Z
61116873bfb7610004992489,Columbia Science Review,accepted,csr.spreadscience@gmail.com,2021-08-09T20:06:08.037Z,2021-08-09T17:40:03.424Z
611095390caadb00049dad27,Engineers Without Borders (EWB),accepted,cu-ewb@columbia.edu,2021-08-09T20:06:01.562Z,2021-08-09T02:38:49.322Z
610dbd3c9d98020004da1a3d,Artist's Reaching Out (CI),accepted,artistsreachingout@gmail.com,2021-08-09T20:05:58.690Z,2021-08-06T22:52:44.002Z
